Idiom,Meaning
A one-track mind,Someone spend most of their time thinking about one subject
Off the cuff,Speak without planning what you will say beforehand
Off the record,"If you say something off the record, you don't want it in the public record, or reported in the media"
On the record,"If you say something on the record, you say it on the understanding that it will be part of the public record, and can be reported in the media"
Off the top of your head,Give information from memory without checking beforehand
Off your own bat,Do something without being asked to or told to
Old hat,Something is old-fashioned and no longer seen as being modern and new
On the back burner,"A plan or project isn't being worked on at present, but it might be completed in the future"
On the ball,Alert and know what's going on around you
On the off-chance,"Do something because it might lead to something that you want, even though it's not definite"
On the one hand...on the other hand,"Say ""on the one hand"" before describing one of two contrasting ideas, options, or opinions, and then say ""on the other hand"" before describing the other one"
On the strength of,Do something because the advice or information suggests doing it
On your/its last legs,"Close to exhaustion, death, breaking or wearing out"
Once and for all,Do something in a way that's final and it means you'll never have to do it again
Once in a blue moon,Something happens very rarely
One in a million,Someone is an exceptionally good person
Out of the blue,Not expecting something to happen and surprised when it does
Out of the question,Something cannot be considered because it's impossible or it's not allowed
Out of your depth,"In a situation that you don't have the experience to handle, or the knowledge to understand"
Out-of-date,Something is old and therefore no longer useful or accurate
Out-of-date,Something like a passport or a credit card cannot be used anymore because the period during which it was valid is over
Over the moon,Extremely happy and excited about something
Over the top,Something is too extreme or it's more than a situation needs or deserves
(Go) over your head,You don't understand something you hear or read because the language or the ideas are too advanced for you
A pain in the neck,Someone annoys you or something you don't like doing
A pat on the back,"Tell someone they have done something well, or done a good job"
A piece of cake,Something is extremely easy
A pipe dream,A plan or dream for the future that could never come true or be achieved
Paint the town red,"Visit bars, nightclubs and other nightspots to have a good time"
Par for the course,Something is what you'd expect it to be; used in a negative way
Part and parcel of,An important part of an experience of a role in life that it cannot be avoided
Pass the buck,Shift the responsibility for something to someone else in order to take the pressure off yourself
Pay the price,Experience the unpleasant results of doing something
Pay through the nose,Pay more than the usual price for something
Pick somebody's brains,Ask somebody for detailed information or ideas about something
Pick up the tab/bill,Pay for yourself and your friends in a restaurant or a bar
Plain sailing,Something is very easy to do and there are no problems to overcome
Play it by ear,Don't plan ahead but do whatever seems best at the time depending on the situation
Playing with fire,"Involved in an acitivty that could be dangerous, or could lead to problems in the future"
Pop the question,Ask someone to marry you
Prey on your mind,Can't stop thinking or worrying about something
Pull out all the stops,Do everything you can to make sure something is successful
Pull someone's leg,Play a joke on something by saying something that isn't true
Pull your socks up,Someone should improve the way they are behaving or the way they are doing something
Put all your eggs in the one basket,"Put all your efforts and resources into one person, one thing or one plan, and if things don't work out, you lose everything"
Put someone's nose out of joint,Upset someone by not treating them with as much respect or consideration as they think they deserve
Put the brakes on,Stop something and slow it down
Put your foot in it (or someone's mouth),Say or do the wrong thing and usually make matters worse
Put/get your own house in order,You think someone should solve their own problems before telling someone else how to solve theirs
The pros and cons,Something's good and bad points
A quantum leap,A major step in the development or improvement of something
A queer fish,Someone is a bit strange and can sometimes behave in an unusual way; weirdo
A question mark over someone/something,"Doubt about someone's future or their ability to do something, or about something's quality or authenticity"
A question of time,Before saying what you think will happen in the future
A quick fix,"A quick and easy, but usually short-term, solution to a problem"
A quick study,Learn new things quickly
Quaking in your boots,Very frightened
Quality time,Time doing things that enrich your lives and improve your relationship
"Quick as a flash/wink
Quick as lightning",Very quick
Quick off the mark,Quick to react to an event or an opportunity
Quick on the trigger/draw,Act quickly when solving problems or answering questions
Quick on the uptake,Smart and understand things quickly
Quid pro quo,Do something on the understanding that something else will be done for you in return
Quiet as a mouse,Very quiet
Quit while you're ahead,Stop doing something that's rewarding but risky before something bad happens
Quite a bit/lot of,"A fairly large amount of something; used bit with uncountable nouns, e.g., money/time; lot with countable and uncountable, e.g., shirts/friends"
(It's) raining cats and dogs,Raining very hard
A raw deal,You weren't treated fairly or as well as other people
A ray of sunshine,Something brings happiness to someone (who's been having trouble in their life)
A recipe for disaster,Something is going to cause trouble or serious problems
A red-letter day,A very important day for some reason
"A roller-coaster ride
A roller coaster","An experience involves many emotional highs and lows, or really good times alternating with really difficult times"
Rack your brain/brains,Try hard to remember something or think of a solution to a problem or a puzzle
Rags to riches,Start out very poor and become very rich
Raison d'être,Reason for living or the most important thing in life
Raring to go,Full of energy and can't wait to get started on whatever it is you are doing
Reach for the moon/stars,"Aim to achieve something great, or do something very challenging"
Read between the lines,"Try to understand what someone implies, but doesn't openly state when they say or write something"
Recharge your batteries,Do something to regain your energy after a period of hard work; rejuvenate
Red light district,The area of a town or city in which prostitutes work
Red tape,Strict adherence to rules and regulations so that a procedure seems to take longer than necessary
Right up/down your alley,Something is perfect for you or ideal for your skills and interests
Ring a bell,Something sounds familiar or you think you've heard it before
Rock the boat,Do or say something that will upset people by changing a situation that they don't want changed
Rub it in ,Keep talking about something that embarrasses or upsets someone
Ruffle someone's feathers,Do something to upset or annoy someone
Run out of steam,"Someone runs out of energy or enthusiasm, or something loses momentum and slows down"
Run circles/rings around,Do something much better than someone else does
Run-of-the-mill,Something is ordinary and nothing special
The rat race,Highly competitive and stressful world of work and business
The real McCoy,"Something is genuine, not a fake or a copy"
(It) stands to reason,Something should be so if it seems reasonable to you that it should be so
A shot in the arm,If something gives a person or an organization renewed energy or enthusiasm
A sight for sore eyes,Glad to see something or someone
A skeleton in the cupboard/closet,You have a secret in your past which could damage you if it became known
A slap on the wrist,A mild punishment for making a mistake or doing something wrong
A slip of the tongue,A small mistake when speaking
Safe and sound,Nothing has harmed you even though you could have been in danger
Save the day,Do something to ensure success or to solve a serious problem
See eye to eye,Totally agree with someone about something
See red,Become extremely angry
See through rose-colored glasses,See things as being better than they really are
Serve you right,"Someone's problem is the result of their own bad behavior, and they deserve it"
Set the world on fire,Do something that creates a lot of excitment and makes you famous
Set your sights on,Something becomes the target of your ambition or the object of your attention
Settle a score,Do something to hurt or insult someone in return who has hurt you or insulted you in the past
Shoot yourself in the foot,Harm yourself in some way by doing something stupid or making a silly mistake
Show your true colors,"Show what you're really like, or reveal your true character"
Sick as a dog,Very sick
Skate on thin ice,"Do something risky, or in a situation that could quickly become dangerous"
Snowed under,Have so much to do that you're having trouble doing it all
"So far, so good","In the middle of doing something, and everything has been going well"
Speak your mind,"Say what you really feel about something, or what you really think"
Start from scratch,Begin something from the very beginning without using anything else as a starting point
State-of-the-art,"The latest and best example of something, or shows the most recent developments in its field"
Steer clear of,Don't go near something because it could harm you or cause you a problem; avoid
Stick/stand out like a sore thumb,Someone is not the same as the people around them
A tall order,Something is hard to do or difficult to achieve
Take a break,Have a short rest whiel doing something like working or playing sport
Take for granted,"Assume something will always be there for you, and you don't seem thankful for it"
Take into account,Consider someone or something when making a decision or plan
Take part,Join in or play a role in something
Take something the wrong way,Misunderstand what someone says and think they are being critical when they aren't
Take the bull by the horns,Deal with a problem or a challenge in a direct and fearless way
Take the mickey/mick out of someone,Make fun of them or copy their behavior for a laugh
Take the plunge,Decide to do something you really want to do even though it's risky and possibly dangerous
Take with a grain/pinch of salt,Have doubts about the truth or accuracy of what someone says
Talk through your hat,"Talk about something without knowing much about it, or claim something is true when it isn't"
Talk turkey,"Discuss something seriously, usually to do with business or money"
Teething problems/troubles,Someone has problems during the early stages of something
Tell (things) apart,See things are not the same by spotting the differences between them
Test the waters,Try something first before deciding whether to get involved in it
The tip of the iceberg,Something is just a small part of something much bigger
Things are looking up,Things are improving
Think better of something,Decide not to do something even though you'd made plans to do it
Think outside the box,Think creatively and without being restricted by common ideas or ways of thinking
Think the world of,Admire and respect someone very much
Throw someone in at the deep end,"Give someone a difficult job to do, or a serious problem to deal with, before they have the knowledge of experience for it"
Tie the knot,Get married
Tighten your belt,Try to spend less money
Time after time,"Do something again and again, or repeatedly"
Time and time again,"Have done something many times, or repeatedly"
An unknown quantity,Not much is known about a thing or a person
An uphill battle/struggle/task,Something is difficult to do because of obstacles such as opposition from other people
The upper crust,A member of society's highest class
The upper hand,Have the advantage or be in the stronger position in a contest or a conflict
The ups and downs,Both the good times and the bad times
Under a cloud,Someone is suspected of having done something wrong
Under fire,Being attacked by the media or criticised by many people
Under lock and key,Something is kept in a very secure place
Under no circumstances,No matter what happens
Under the table,"Something is done secretly, usually because it's illegal or unethical"
Under the weather,Not feeling well
Under wraps,Something is being kept secret
Under your own steam,Do it without anybody's help
Up and running,A system or an organization is up and running if it has started to operate
Up for grabs,Something is available for anyone who wants to try to get it
Up in arms,Angry about something that you think is unfair or wrong
Up in the air,Something such as a plan or details still haven't been decided or settled yet
Up to no good,Someone is doing something bad or wrong
Up to scratch/snuff,Something is as good as it should be or it needs to be
Up to your neck/eyeballs,Got too much of something and it's become a problem
Up-and-coming,Someone show signs of being successful in their profession
Upset the applecart,Do something that causes trouble or upsets someone's plans
User-friendly,Something is easy to use
